               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11533,            0.029828,            0.041186,           0.0008321,             0.16141,          0.00060978,          0.00013443,             0.09725,            0.022879,             0.03272,               0.091,               0.001,               0.001
                   1,              0.1066,             0.03247,            0.040711,           0.0027659,             0.60936,            0.015509,           0.0042154,            0.069797,            0.022879,            0.027073,            0.081093,           0.0020931,           0.0020931
                   2,               0.088,            0.035105,             0.03503,           0.0036984,             0.86365,             0.11619,            0.029984,            0.058767,            0.021927,            0.023829,            0.071179,           0.0031789,           0.0031789
                   3,            0.083232,            0.029528,            0.031256,             0.52433,            0.074166,             0.19658,            0.065547,            0.055082,            0.020013,             0.02002,            0.061257,           0.0042574,           0.0042574
                   4,            0.069034,            0.026616,            0.024731,              0.4639,             0.19089,             0.22767,            0.082117,            0.054328,            0.017791,            0.016649,            0.051329,           0.0053287,           0.0053287
                   5,            0.066251,            0.026295,            0.022083,             0.52057,             0.32389,             0.37027,             0.12252,            0.056856,            0.015964,            0.012954,            0.041393,           0.0063927,           0.0063927
                   6,            0.071489,            0.027638,            0.022299,             0.78566,             0.27162,             0.36242,             0.11489,            0.053889,            0.014581,           0.0098013,             0.03145,           0.0074495,           0.0074495
                   7,              0.0622,             0.02278,            0.017646,             0.56811,             0.42696,             0.30356,             0.09922,            0.052718,            0.013956,           0.0083527,            0.021499,            0.008499,            0.008499
                   8,            0.069339,            0.024869,            0.016364,              0.4478,             0.48368,             0.38539,              0.1236,            0.061537,            0.011704,           0.0067874,            0.011541,           0.0095413,           0.0095413
                   9,            0.070677,            0.022707,            0.014607,             0.19328,             0.44227,             0.28722,            0.089658,            0.055369,            0.011087,           0.0066076,            0.009703,            0.009703,            0.009703
                  10,            0.070939,            0.020428,            0.012199,             0.34904,             0.58571,             0.37907,             0.13915,              0.0593,            0.010963,           0.0061805,            0.009703,            0.009703,            0.009703
                  11,            0.071041,            0.022607,            0.011553,             0.45842,             0.51792,               0.472,             0.19699,            0.047202,            0.010957,           0.0052728,             0.00967,             0.00967,             0.00967
                  12,            0.064865,             0.02127,            0.009344,               0.419,             0.51313,             0.36831,             0.14616,            0.050713,            0.010495,           0.0043086,            0.009637,            0.009637,            0.009637
                  13,            0.058813,            0.016887,           0.0081012,             0.40725,             0.60605,             0.58174,             0.22989,            0.051962,           0.0099401,           0.0037587,            0.009604,            0.009604,            0.009604
                  14,            0.061379,            0.022273,           0.0089485,             0.31015,             0.69369,             0.49667,             0.15123,             0.05378,            0.010081,           0.0028809,            0.009571,            0.009571,            0.009571
